[1] 2026-05-09 05:24:49 | UDP | 127.0.0.1:37434 --> 127.0.0.53:53    | DNS | 75 bytes
[2] 2026-05-09 05:24:49 | UDP | 127.0.0.53:53    --> 127.0.0.1:37434 | unknown | 107 bytes
[3] 2026-05-09 05:24:54 | UDP | 127.0.0.1:36356 --> 127.0.0.53:53    | DNS | 81 bytes
[4] 2026-05-09 05:24:54 | UDP | 127.0.0.1:36356 --> 127.0.0.53:53    | DNS | 81 bytes
[5] 2026-05-09 05:24:55 | UDP | 127.0.0.53:53    --> 127.0.0.1:36356 | unknown | 97 bytes
[6] 2026-05-09 05:24:55 | UDP | 127.0.0.53:53    --> 127.0.0.1:36356 | unknown | 109 bytes
[7] 2026-05-09 05:24:55 | UDP | 127.0.0.1:46494 --> 127.0.0.53:53    | DNS | 98 bytes
[8] 2026-05-09 05:24:55 | UDP | 127.0.0.53:53    --> 127.0.0.1:46494 | unknown | 138 bytes
[9] 2026-05-09 05:25:26 | UDP | 127.0.0.1:56695 --> 127.0.0.53:53    | DNS | 82 bytes
[10] 2026-05-09 05:25:26 | UDP | 127.0.0.1:56695 --> 127.0.0.53:53    | DNS | 82 bytes
[11] 2026-05-09 05:25:26 | UDP | 127.0.0.53:53    --> 127.0.0.1:56695 | unknown | 98 bytes
[12] 2026-05-09 05:25:26 | UDP | 127.0.0.53:53    --> 127.0.0.1:56695 | unknown | 110 bytes
[13] 2026-05-09 05:25:26 | UDP | 127.0.0.1:45244 --> 127.0.0.53:53    | DNS | 99 bytes
[14] 2026-05-09 05:25:26 | UDP | 127.0.0.53:53    --> 127.0.0.1:45244 | unknown | 139 bytes
[15] 2026-05-09 05:25:39 | UDP | 127.0.0.1:57296 --> 127.0.0.53:53    | DNS | 79 bytes
[16] 2026-05-09 05:25:39 | UDP | 127.0.0.1:57296 --> 127.0.0.53:53    | DNS | 79 bytes
[17] 2026-05-09 05:25:40 | UDP | 127.0.0.53:53    --> 127.0.0.1:57296 | unknown | 95 bytes
[18] 2026-05-09 05:25:40 | UDP | 127.0.0.53:53    --> 127.0.0.1:57296 | unknown | 79 bytes
[19] 2026-05-09 05:25:40 | UDP | 127.0.0.1:53189 --> 127.0.0.53:53    | DNS | 97 bytes
[20] 2026-05-09 05:25:41 | UDP | 127.0.0.53:53    --> 127.0.0.1:53189 | unknown | 123 bytes
